Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Duration,Engagement_Score,Bounce_Exit_Ratio,Returning_Visitor_Flag
0,0.0,0,0.0,3,0.066666667,0.0,0.6,Feb,1,1,3,2,Returning_Visitor,0,0,22.0,0.0,0.0,1
0,0.0,0,0.0,15,0.006666667,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,0,0,310.1666667,0.0,0.0,1
0,0.0,0,0.0,2,0.05,0.0,0.4,Feb,3,2,2,3,Returning_Visitor,0,0,34.0,0.0,0.0,1
0,0.0,0,0.0,4,0.05,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,0,0,88.0,0.0,0.0,1
0,0.0,0,0.0,22,0.006060606,0.0,0.2,Feb,2,5,1,4,Returning_Visitor,0,0,622.25,0.0,0.4918839153161231,1
0,0.0,0,0.0,14,0.057142857,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,0,0,222.4,0.0,0.2994759153967455,1
0,0.0,0,0.0,3,0.133333333,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,0,0,80.0,0.0,0.49962528478547413,1
0,0.0,0,0.0,11,0.003636364,0.0,0.0,Feb,3,2,1,3,Returning_Visitor,0,0,800.8333333,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.6,Feb,2,2,3,2,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,12,0.026111111,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,0,0,265.1666667,0.0,0.4239084333357713,1
0,0.0,0,0.0,2,0.1,0.0,1.0,Feb,2,4,4,2,Returning_Visitor,1,0,29.0,0.0,0.0,1
0,0.0,0,0.0,4,0.075,0.0,0.0,Feb,4,2,2,3,Returning_Visitor,0,0,160.0,0.0,0.0,1
0,0.0,0,0.0,4,0.025,0.0,0.4,Feb,3,3,1,4,Returning_Visitor,0,0,135.6666667,0.0,1.9920318725099602,1
0,0.0,0,0.0,1,0.2,0.0,0.2,Feb,2,4,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
4,56.0,2,120.0,36,0.014736467,19.44707913,0.2,Feb,2,2,4,1,Returning_Visitor,0,0,1174.7416667,700.0948486799999,0.0,1
0,0.0,0,0.0,4,0.05,0.0,0.4,Feb,2,6,6,3,Returning_Visitor,0,0,104.0,0.0,0.0,1
2,16.0,0,0.0,16,0.046568627,0.0,0.6,Feb,2,4,2,1,Returning_Visitor,0,0,397.6865079,0.0,0.252090253265861,1
0,0.0,0,0.0,6,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,0,0,169.0,0.0,0.0,1
0,0.0,0,0.0,8,0.120833333,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,400.8,0.0,0.41345093829506874,1
12,279.4166667,0,0.0,42,0.019666667,38.30849268,0.0,Feb,1,1,3,2,Returning_Visitor,0,0,1832.9999997,1608.95669256,0.45531196534043905,1
0,0.0,0,0.0,14,0.007142857,0.0,0.0,Feb,2,2,5,4,Returning_Visitor,1,0,706.5,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,2,2,4,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
3,87.83333333,0,0.0,27,0.012643678,22.9160357,0.8,Feb,2,2,3,1,Returning_Visitor,0,1,886.16666663,618.7329639,0.0,1
4,44.0,0,0.0,90,0.015013034,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,0,0,6995.972222,0.0,0.14229690742441262,1
0,0.0,0,0.0,1,0.2,0.0,0.6,Feb,2,2,5,1,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,18,0.007407407,0.0,0.0,Feb,2,7,2,4,Returning_Visitor,0,0,902.0,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.2,Feb,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,20,0.0525,0.0,0.0,Feb,2,6,6,1,Returning_Visitor,0,0,197.3777778,0.0,0.4752851711026616,1
0,0.0,0,0.0,2,0.1,0.0,0.4,Feb,2,2,3,3,Returning_Visitor,0,0,43.0,0.0,0.0,1
0,0.0,0,0.0,8,0.0125,0.0,0.0,Feb,2,4,3,2,Returning_Visitor,0,0,426.6666667,0.0,0.0,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Feb,2,4,3,3,Returning_Visitor,0,0,135.0,0.0,0.0,1
0,0.0,0,0.0,16,0.025,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,0,0,588.3333333,0.0,0.0,1
10,1005.666667,0,0.0,36,0.014492754,11.43941195,0.0,Feb,2,6,1,2,Returning_Visitor,0,1,3117.008334,411.8188302,0.29794417147030644,1
0,0.0,0,0.0,2,0.05,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,0,0,76.0,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,1.0,Feb,1,1,1,3,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,7,0.028571429,0.0,0.0,Feb,4,1,1,5,Returning_Visitor,1,0,208.0,0.0,0.0,1
0,0.0,0,0.0,4,0.016666667,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,0,0,270.0,0.0,0.0,1
0,0.0,0,0.0,6,0.02,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,39.5,0.0,0.0,1
0,0.0,0,0.0,12,0.058333333,0.0,0.0,Feb,3,2,4,1,Returning_Visitor,0,0,375.0,0.0,0.28522533534070355,1
0,0.0,0,0.0,1,0.2,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,7,0.085714286,0.0,0.0,Feb,2,2,2,1,Returning_Visitor,0,0,150.0,0.0,0.6658897913571173,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,138.0,0.0,0.0,1
0,0.0,0,0.0,7,0.023809524,0.0,0.4,Feb,4,1,3,3,Returning_Visitor,0,0,337.5,0.0,1.1949810878710927,1
0,0.0,0,0.0,19,0.007894737,0.0,0.0,Feb,1,1,4,2,Returning_Visitor,0,0,620.0333333,0.0,0.0,1
2,36.0,0,0.0,15,0.011764706,0.0,0.4,Feb,1,1,1,3,Returning_Visitor,0,0,204.8461538,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,2,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,52.0,0.0,0.0,1
0,0.0,0,0.0,13,0.015384615,0.0,0.0,Feb,2,2,1,5,New_Visitor,0,0,649.25,0.0,0.0,0
0,0.0,0,0.0,27,0.025925926,0.0,0.6,Feb,4,1,3,3,Returning_Visitor,0,0,925.3333333,0.0,0.14230825062670202,1
0,0.0,0,0.0,2,0.1,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,0,0,33.0,0.0,0.0,1
0,0.0,0,0.0,6,0.066666667,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,0,0,1566.5,0.0,0.7488766812337659,1
0,0.0,0,0.0,4,0.025,0.0,0.6,Feb,1,1,1,4,Returning_Visitor,0,0,105.0,0.0,0.0,1
0,0.0,1,0.0,7,0.080952381,0.0,0.6,Feb,2,4,1,7,Returning_Visitor,0,0,50.0,0.0,0.47000763617295827,1
0,0.0,0,0.0,16,0.031666667,0.0,0.0,Feb,3,2,3,4,Returning_Visitor,0,0,644.2,0.0,0.131164752033948,1
3,18.33333333,0,0.0,38,0.008947368,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,0,0,2653.5111113300004,0.0,0.0,1
4,61.0,0,0.0,19,0.026984127,17.53595893,1.0,Feb,1,1,7,4,Returning_Visitor,1,1,668.0,333.18321966999997,0.0,1
0,0.0,0,0.0,6,0.033333333,0.0,0.4,Feb,1,1,3,2,Returning_Visitor,0,0,415.0,0.0,0.0,1
2,31.0,1,16.0,36,0.01351025,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,0,0,2130.530952,0.0,0.0,1
3,58.5,0,0.0,17,0.017647059,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,0,0,340.1666667,0.0,0.39774612796407566,1
0,0.0,0,0.0,2,0.15,0.0,0.0,Feb,1,1,7,2,Returning_Visitor,0,0,27.0,0.0,0.999333777481679,1
0,0.0,1,0.0,9,0.074074074,0.0,0.8,Feb,4,1,1,3,Returning_Visitor,0,0,215.0,0.0,0.5991910866322375,1
0,0.0,0,0.0,12,0.066666667,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,162.0,0.0,0.7488766812337659,1
0,0.0,0,0.0,2,0.066666667,0.0,0.8,Feb,3,3,1,3,Returning_Visitor,0,0,114.0,0.0,0.7488766812337659,1
6,326.25,4,94.0,128,0.01791847,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,0,0,5482.463753,0.0,0.047434715600159175,1
0,0.0,0,0.0,4,0.016666667,0.0,0.6,Feb,2,2,3,3,Returning_Visitor,0,0,253.0,0.0,0.0,1
0,0.0,0,0.0,4,0.2,0.0,0.4,Feb,2,2,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.8,Feb,1,1,2,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
2,22.0,0,0.0,25,0.024,0.0,0.2,Feb,2,4,1,1,Returning_Visitor,0,0,458.5,0.0,0.33195020746887965,1
0,0.0,1,93.0,30,0.035483871,0.0,0.2,Feb,1,1,1,3,Returning_Visitor,0,0,1138.833333,0.0,0.3626144552963335,1
0,0.0,0,0.0,12,0.005555556,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,1,0,317.8333333,0.0,0.0,1
0,0.0,0,0.0,21,0.012962963,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,0,0,1146.333333,0.0,0.0,1
0,0.0,0,0.0,11,0.027272727,0.0,0.2,Feb,2,2,3,1,Returning_Visitor,0,0,577.0,0.0,0.6642311524167833,1
0,0.0,0,0.0,8,0.075,0.0,0.0,Feb,4,1,3,3,Returning_Visitor,0,0,95.0,0.0,0.0,1
0,0.0,0,0.0,6,0.111111111,0.0,0.0,Feb,2,4,9,3,Returning_Visitor,0,0,301.5,0.0,0.0,1
0,0.0,0,0.0,6,0.033333333,0.0,0.0,Feb,2,4,4,1,Returning_Visitor,0,0,243.0,0.0,0.0,1
0,0.0,0,0.0,4,0.05,0.0,0.6,Feb,2,2,1,2,Returning_Visitor,0,0,135.5,0.0,0.0,1
0,0.0,2,75.0,14,0.034375,0.0,0.8,Feb,1,1,3,3,Returning_Visitor,0,0,517.3333333,0.0,0.0,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,0,0,41.0,0.0,0.0,1
0,0.0,0,0.0,11,0.11952381,0.0,0.0,Feb,2,4,3,1,Returning_Visitor,0,0,292.9,0.0,0.23406711423085422,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,9,0.040740741,0.0,0.4,Feb,2,2,1,3,Returning_Visitor,0,0,1238.333333,0.0,0.0,1
0,0.0,0,0.0,10,0.05,0.0,0.4,Feb,1,1,8,3,Returning_Visitor,0,0,225.4666667,0.0,0.0,1
4,462.0,0,0.0,51,0.00754717,0.0,0.6,Feb,2,2,9,3,Returning_Visitor,0,0,2335.2166669999997,0.0,0.0,1
0,0.0,0,0.0,3,0.166666667,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,0,0,13.0,0.0,0.7995202842304213,1
0,0.0,0,0.0,2,0.1,0.0,0.0,Feb,2,6,1,2,Returning_Visitor,1,0,222.0,0.0,0.0,1
2,20.0,0,0.0,16,0.022222222,0.0,0.0,Feb,2,2,1,6,Returning_Visitor,0,0,234.8333333,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,6,0.011111111,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,0,0,2017.166667,0.0,0.0,1
6,111.5,0,0.0,26,0.018518519,0.0,0.6,Feb,1,1,3,3,Returning_Visitor,0,0,560.5277778,0.0,0.0,1
0,0.0,0,0.0,6,0.033333333,0.0,0.0,Feb,3,2,4,2,Returning_Visitor,0,0,158.1666667,0.0,0.0,1
0,0.0,0,0.0,9,0.046296296,0.0,0.0,Feb,2,4,5,2,Returning_Visitor,0,0,303.6666667,0.0,0.11974136900928468,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Feb,2,4,1,5,Returning_Visitor,0,0,25.0,0.0,0.0,1
0,0.0,0,0.0,2,0.15,0.0,0.4,Feb,2,2,1,4,Returning_Visitor,0,0,42.0,0.0,0.33311125916055967,1
4,103.625,0,0.0,14,0.018039216,0.0,0.2,Feb,1,1,3,3,Returning_Visitor,0,0,1107.041667,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,2,2,7,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,9,0.011851852,0.0,0.2,Feb,1,1,6,3,Returning_Visitor,0,0,272.5,0.0,0.0,1
3,19.0,0,0.0,8,0.007407407,0.0,0.0,Feb,2,4,2,3,Returning_Visitor,0,0,363.0,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,2,2,2,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,1,19.0,10,0.009090909,0.0,0.0,Feb,2,2,3,6,Returning_Visitor,0,0,871.0,0.0,0.0,1
0,0.0,0,0.0,3,0.066666667,0.0,0.4,Feb,2,4,1,3,Returning_Visitor,0,0,780.0,0.0,0.9985022466375324,1
0,0.0,0,0.0,3,0.033333333,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,0,0,1038.0,0.0,0.0,1
0,0.0,0,0.0,4,0.05,0.0,0.0,Feb,2,2,3,3,Returning_Visitor,0,0,573.0,0.0,0.0,1
0,0.0,0,0.0,28,0.030357143,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,0,0,1231.233333,0.0,0.23452157019455175,1
0,0.0,0,0.0,11,0.027272727,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,0,0,316.6666667,0.0,0.0,1
0,0.0,0,0.0,20,0.028166667,0.0,0.0,Feb,1,2,1,1,Returning_Visitor,0,0,873.7365079,0.0,0.2653301855503516,1
0,0.0,0,0.0,1,0.2,0.0,0.4,Feb,2,2,3,4,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,4,0.15,0.0,0.0,Feb,2,5,5,1,Returning_Visitor,0,0,16.0,0.0,0.6662225183211193,1
0,0.0,0,0.0,19,0.026315789,0.0,0.2,Feb,2,2,3,3,Returning_Visitor,0,0,615.0,0.0,0.0,1
0,0.0,0,0.0,9,0.026666667,0.0,0.0,Feb,2,6,1,1,Returning_Visitor,0,0,261.75,0.0,0.0,1
0,0.0,0,0.0,21,0.04993081,0.0,0.0,Feb,3,2,2,1,Returning_Visitor,1,0,615.8831169,0.0,0.6662561129831798,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,3,3,3,2,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,6,0.033333333,0.0,0.8,Feb,1,1,1,3,Returning_Visitor,1,0,117.5,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,23,0.01884058,0.0,0.6,Feb,1,1,4,2,Returning_Visitor,0,0,501.6666667,0.0,0.4591016748167163,1
2,58.0,2,22.0,31,0.040606061,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,1,0,909.1666667,0.0,0.744435331141473,1
1,9.5,0,0.0,23,0.012463768,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,1,0,1232.5,0.0,1.2112123528546532,1
0,0.0,0,0.0,6,0.016666667,0.0,0.4,Feb,1,1,3,3,Returning_Visitor,0,0,467.0,0.0,0.0,1
0,0.0,0,0.0,23,0.011594203,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,0,0,737.1666667,0.0,0.7435865445469007,1
0,0.0,0,0.0,12,0.033333333,0.0,0.0,Feb,1,1,3,2,Returning_Visitor,0,0,129.0,0.0,0.0,1
0,0.0,0,0.0,5,0.04,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,63.0,0.0,0.0,1
0,0.0,0,0.0,5,0.166666667,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,125.0,0.0,0.519688188047795,1
0,0.0,0,0.0,11,0.063636364,0.0,0.0,Feb,2,4,6,1,Returning_Visitor,0,0,684.3333333,0.0,0.28526600607464836,1
0,0.0,0,0.0,20,0.0145,0.0,0.8,Feb,3,2,7,4,Returning_Visitor,1,0,665.4722222,0.0,0.0,1
1,0.0,0,0.0,15,0.019166667,0.0,0.8,Feb,1,1,2,4,Returning_Visitor,1,0,487.5,0.0,0.0,1
0,0.0,0,0.0,17,0.033333333,0.0,0.0,Feb,2,4,1,3,Returning_Visitor,0,0,437.1666667,0.0,0.3323363243503123,1
0,0.0,0,0.0,3,0.1,0.0,0.6,Feb,1,1,1,3,Returning_Visitor,0,0,55.0,0.0,0.6660006693306693,1
0,0.0,0,0.0,1,0.2,0.0,0.8,Feb,1,1,1,2,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
5,41.3,0,0.0,24,0.008602151,0.0,1.0,Feb,2,2,8,1,Returning_Visitor,1,0,488.2277778,0.0,0.0,1
3,87.0,0,0.0,10,0.015384615,0.0,0.0,Feb,1,1,2,3,Returning_Visitor,0,0,407.5,0.0,0.0,1
0,0.0,0,0.0,7,0.014285714,0.0,0.0,Feb,1,1,6,2,Returning_Visitor,0,0,666.0,0.0,0.0,1
1,0.0,0,0.0,21,0.047002635,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,0,0,405.7095238,0.0,0.2280934389339365,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,6,0.033333333,0.0,0.6,Feb,1,1,6,2,Returning_Visitor,0,0,163.25,0.0,0.9970089730509368,1
0,0.0,0,0.0,17,0.011764706,0.0,0.0,Feb,3,2,6,2,Returning_Visitor,1,0,284.25,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,8,0.025,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,1,0,260.0,0.0,0.33200529880478086,1
0,0.0,16,1210.397619,5,0.012764202,0.0,0.0,Mar,2,2,1,8,Returning_Visitor,0,0,1490.2547619000002,0.0,0.24677807453583206,1
0,0.0,0,0.0,20,0.027248677,8.000740741,0.0,Mar,1,1,3,1,Returning_Visitor,0,0,927.45,160.01481482,0.4062759964586221,1
2,9.0,0,0.0,50,0.006339869,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,0,0,845.8,0.0,0.0,1
10,293.7782051,2,153.0,96,0.013509414,0.0,0.0,Mar,3,2,6,2,Returning_Visitor,1,0,3729.9449440999997,0.0,0.144075564164629,1
9,111.5,1,48.5,49,0.020708874,1.706014966,0.0,Mar,2,2,7,2,Returning_Visitor,0,1,2028.819697,83.594733334,0.0,1
3,47.0,1,51.0,68,0.016727891,46.53017511,0.0,Mar,2,2,1,1,Returning_Visitor,0,0,3106.124108,3164.05190748,0.4244653712102128,1
0,0.0,0,0.0,2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
3,1226.0,5,3.0,24,0.096,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,0,0,4459.25,0.0,0.3765918418314256,1
3,52.0,0,0.0,9,0.02,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,0,0,371.0,0.0,0.0,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,0,0,42.0,0.0,0.0,1
0,0.0,0,0.0,22,0.057662338,0.0,0.0,Mar,1,1,7,2,Returning_Visitor,1,0,354.3333333,0.0,0.15738471320187902,1
0,0.0,0,0.0,98,0.010173465,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,0,0,3556.61241,0.0,0.20069723311463075,1
